Feature Index Set,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
45,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 17, 22, 26, 27, 28, 32, 35, 38, 39, 40, 42, 43, 44, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 63, 64, 66, 67)",[0.9        0.87336245 0.82969432 0.86899563 0.82969432],0.860349344978166,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '13', '15', '17', '22', '26', '27', '28', '32', '35', '38', '39', '40', '42', '43', '44', '48', '49', '50', '51', '52', '53', '54', '56', '57', '58', '59', '60', '61', '62', '63', '64', '66', '67')",0.034943532317474046,0.027187255299984822,0.013593627649992411
55,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 22, 25, 26, 27, 28, 31, 32, 33, 35, 38, 39, 40, 42, 43, 44, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67)",[0.90434783 0.86899563 0.82532751 0.87336245 0.82969432],0.8603455477501425,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '15', '16', '17', '18', '19', '20', '22', '25', '26', '27', '28', '31', '32', '33', '35', '38', '39', '40', '42', '43', '44', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67')",0.03789418038450285,0.029482959740219784,0.01474147987010989
43,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 15, 17, 22, 26, 27, 28, 32, 35, 38, 39, 42, 43, 44, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 63, 64, 66, 67)",[0.89565217 0.86899563 0.83406114 0.86899563 0.82969432],0.8594797797607747,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '15', '17', '22', '26', '27', '28', '32', '35', '38', '39', '42', '43', '44', '48', '49', '50', '51', '52', '53', '54', '56', '57', '58', '59', '60', '61', '62', '63', '64', '66', '67')",0.031602614009305016,0.024587907353264403,0.0122939536766322
36,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 26, 27, 28, 35, 38, 39, 42, 44, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 63, 66)",[0.9        0.87336245 0.82532751 0.86899563 0.82969432],0.8594759825327511,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '26', '27', '28', '35', '38', '39', '42', '44', '48', '49', '50', '51', '52', '53', '54', '56', '57', '58', '59', '60', '61', '62', '63', '66')",0.03625668281781234,0.028208931001675326,0.014104465500837661
30,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 26, 27, 28, 35, 38, 39, 42, 44, 48, 49, 50, 51, 52, 53, 54, 59, 60, 66)",[0.9        0.87336245 0.82532751 0.86899563 0.82969432],0.8594759825327511,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '26', '27', '28', '35', '38', '39', '42', '44', '48', '49', '50', '51', '52', '53', '54', '59', '60', '66')",0.03625668281781234,0.028208931001675326,0.014104465500837661
29,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 26, 27, 28, 35, 38, 39, 42, 44, 48, 49, 50, 51, 52, 53, 59, 60, 66)",[0.9        0.87336245 0.82532751 0.86899563 0.82969432],0.8594759825327511,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '26', '27', '28', '35', '38', '39', '42', '44', '48', '49', '50', '51', '52', '53', '59', '60', '66')",0.03625668281781234,0.028208931001675326,0.014104465500837661
31,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 26, 27, 28, 35, 38, 39, 42, 44, 48, 49, 50, 51, 52, 53, 54, 56, 59, 60, 66)",[0.9        0.87336245 0.82532751 0.86899563 0.82969432],0.8594759825327511,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '26', '27', '28', '35', '38', '39', '42', '44', '48', '49', '50', '51', '52', '53', '54', '56', '59', '60', '66')",0.03625668281781234,0.028208931001675326,0.014104465500837661
33,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 26, 27, 28, 35, 38, 39, 42, 44, 48, 49, 50, 51, 52, 53, 54, 56, 58, 59, 60, 61, 66)",[0.9        0.87336245 0.82532751 0.86899563 0.82969432],0.8594759825327511,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '26', '27', '28', '35', '38', '39', '42', '44', '48', '49', '50', '51', '52', '53', '54', '56', '58', '59', '60', '61', '66')",0.03625668281781234,0.028208931001675326,0.014104465500837661
34,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 26, 27, 28, 35, 38, 39, 42, 44, 48, 49, 50, 51, 52, 53, 54, 56, 58, 59, 60, 61, 62, 66)",[0.9        0.87336245 0.82532751 0.86899563 0.82969432],0.8594759825327511,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '26', '27', '28', '35', '38', '39', '42', '44', '48', '49', '50', '51', '52', '53', '54', '56', '58', '59', '60', '61', '62', '66')",0.03625668281781234,0.028208931001675326,0.014104465500837661
35,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 26, 27, 28, 35, 38, 39, 42, 44, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 66)",[0.9        0.87336245 0.82532751 0.86899563 0.82969432],0.8594759825327511,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '26', '27', '28', '35', '38', '39', '42', '44', '48', '49', '50', '51', '52', '53', '54', '56', '57', '58', '59', '60', '61', '62', '66')",0.03625668281781234,0.028208931001675326,0.014104465500837661
